EpochIndex,EpochT,PrnSatellitesIndex,Pseudorange,Snr,SatPosX,SatPosY,SatPosZ,SatSystem,rec_bias,cov
1,1.56704322906213e+18,1,21848128.7598644,29,-13360554.1809641,12311067.6927631,-5306960.22479105,1,0.000354908615087794,1.0523887396
1,1.56704322906213e+18,4,23702336.2409142,18,-3501673.56978709,12625850.8197494,-12573933.5824136,1,0.000354908615087794,2.2144118481
1,1.56704322906213e+18,7,21213297.6642323,15,-1106947.77326857,10384823.5157527,19003083.6038852,1,0.000354908615087794,0.711552983296
1,1.56704322906213e+18,8,21148787.0442119,16,-9477736.77332554,5075727.88897083,21487436.6364884,1,0.000354908615087794,0.7247287161
1,1.56704322906213e+18,9,22985136.3248425,30,5844926.77543425,15794720.3111147,-3050683.31988167,1,0.000354908615087794,1.4698652644
1,1.56704322906213e+18,16,24277429.2853402,14,-25066348.647467,-9527418.40054481,11400755.2423906,1,0.000354908615087794,-1
1,1.56704322906213e+18,21,20717769.8351625,29,-17292577.6008514,10295406.6124958,4276256.53219402,1,0.000354908615087794,0.740919828289
1,1.56704322906213e+18,27,23258140.9928377,18,-15041854.9338569,-7123535.59025113,23268140.7879762,1,0.000354908615087794,1.4533025809
1,1.56704322906213e+18,107,37419662.0879773,36,4089499.59772525,32233568.514931,103238.934937603,4,0.000354908615087794,0.926127146025
1,1.56704322906213e+18,108,36493418.8472086,28,-15019019.3381361,29829504.2353856,684844.895175197,4,0.000354908615087794,0.732871254241
1,1.56704322906213e+18,112,36980460.1191543,28,-14828021.246888,13113076.0893851,34068734.8028443,4,0.000354908615087794,0.714554067969
1,1.56704322906213e+18,132,21886341.8136009,44,-12388552.2919203,9673736.36909703,17541768.5878764,4,0.000354908615087794,0.638236416609
1,1.56704322906213e+18,133,25384046.9838989,27,-16131401.0182237,-10270328.1463311,24444046.2179514,4,0.000354908615087794,1.9090672561
1,1.56704322906213e+18,135,22778563.1146848,35,-873203.516978762,18239033.7982112,1776887.05768768,4,0.000354908615087794,0.852329629089
2,1.56704323006176e+18,1,21847702.3983502,29,-13361265.0255863,12311552.5670243,-5303866.32266856,1,0.000355470396354699,1.0519374096
2,1.56704323006176e+18,4,23703045.2579519,17,-3502426.91021823,12624213.1904014,-12576357.8458985,1,0.000355470396354699,2.2147094761
2,1.56704323006176e+18,7,21213039.4459318,15,-1108524.05822838,10386337.9854974,19001190.9129405,1,0.000355470396354699,0.711283077376
2,1.56704323006176e+18,8,21149310.7621384,18,-9478746.50969555,5073383.32416509,21488725.7867257,1,0.000355470396354699,0.7245754884
2,1.56704323006176e+18,9,22985680.7296654,30,5844445.61048881,15794292.6463691,-3053772.42761491,1,0.000355470396354699,1.4698652644
2,1.56704323006176e+18,16,24277920.44674,15,-25067529.4370452,-9527940.16133907,11397923.0291043,1,0.000355470396354699,2.4313853041
2,1.56704323006176e+18,21,20717775.2558379,29,-17292679.380183,10294990.3766053,4279430.52432739,1,0.000355470396354699,0.740639244816
2,1.56704323006176e+18,27,23258885.3632419,19,-15042788.8828485,-7126177.08811343,23267851.2212411,1,0.000355470396354699,1.4533749136
2,1.56704323006176e+18,107,37419822.3752379,35,4089494.63479138,32233567.815816,103244.19659277,4,0.000355470396354699,0.925900044169
2,1.56704323006176e+18,108,36493572.597531,28,-15019020.0400809,29829501.2158763,684909.951128121,4,0.000355470396354699,0.732646978704
2,1.56704323006176e+18,112,36980585.8647951,28,-14829098.5243271,13112801.4046297,34068414.9970308,4,0.000355470396354699,0.714339374596
2,1.56704323006176e+18,132,21886714.1262223,44,-12388537.4723879,9671894.81784339,17543991.4955489,4,0.000355470396354699,0.638047890841
2,1.56704323006176e+18,133,25384780.6258797,27,-16131264.9283572,-10272948.6001509,24444067.5139695,4,0.000355470396354699,1.9093159684
2,1.56704323006176e+18,135,22778390.3961777,35,-873319.41818759,18238996.6314462,1779996.05123767,4,0.000355470396354699,0.852004687681
3,1.56704323106088e+18,1,21847275.553329,29,-13361975.2386548,12312037.022914,-5300772.22098161,1,0.000355999674003428,1.0515066849
3,1.56704323106088e+18,4,23703752.6390245,15,-3503180.08952725,12622575.1487933,-12578781.7561298,1,0.000355999674003428,2.2150666561
3,1.56704323106088e+18,7,21212780.3332529,14,-1110099.76088817,10387852.2033079,18999297.9051763,1,0.000355999674003428,-1
3,1.56704323106088e+18,8,21149836.6826789,18,-9479756.09122555,5071038.50382855,21490014.5608656,1,0.000355999674003428,0.7244222769
3,1.56704323106088e+18,9,22986226.6738162,30,5843964.63374867,15793864.4804558,-3056861.38559565,1,0.000355999674003428,1.4698652644
3,1.56704323106088e+18,16,24278410.4509563,14,-25068709.5665812,-9528461.91710842,11395090.6611218,1,0.000355999674003428,-1
3,1.56704323106088e+18,21,20717780.8251304,30,-17292780.5919701,10294573.6621192,4282604.50875133,1,0.000355999674003428,0.740358714481
3,1.56704323106088e+18,27,23259629.5188778,20,-15043722.628693,-7128818.65604194,23267561.2375447,1,0.000355999674003428,1.45347136
3,1.56704323106088e+18,107,37419983.1190455,36,4089490.02014894,32233566.9515703,103249.518795441,4,0.000355999674003428,0.925671045924
3,1.56704323106088e+18,108,36493726.2474987,28,-15019020.3938957,29829498.0308331,684975.06452589,4,0.000355999674003428,0.732424449124
3,1.56704323106088e+18,112,36980710.3060561,28,-14830175.494253,13112526.7130518,34068095.0730885,4,0.000355999674003428,0.714124713481
3,1.56704323106088e+18,132,21887086.4035069,44,-12388522.4149111,9670052.84677385,17546214.1611486,4,0.000355999674003428,0.637859392921
3,1.56704323106088e+18,133,25385511.9158286,27,-16131128.6658749,-10275569.2309726,24444088.4419941,4,0.000355999674003428,1.9095646969
3,1.56704323106088e+18,135,22778217.7682529,35,-873434.968730521,18238958.9523257,1783105.09251658,4,0.000355999674003428,0.851681653956
4,1.5670432320691e+18,1,21846852.1393724,29,-13362684.9707241,12312521.1550084,-5297677.9193535,1,0.000356462512274069,1.0510555441
4,1.5670432320691e+18,4,23704459.1187492,13,-3503933.25827589,12620936.7896167,-12581205.3125667,1,0.000356462512274069,-1
4,1.5670432320691e+18,7,21212521.264451,13,-1111675.03177025,10389366.2637525,18997404.5811193,1,0.000356462512274069,-1
4,1.5670432320691e+18,8,21150363.4288778,19,-9480765.6684572,5068693.5226509,21491302.9593707,1,0.000356462512274069,0.724274187849
4,1.5670432320691e+18,9,22986772.8942318,30,5843483.69463093,15793435.9080376,-3059950.19328772,1,0.000356462512274069,1.4698652644
4,1.5670432320691e+18,16,24278901.2280732,14,-25069889.1865662,-9528983.57325315,11392258.1390054,1,0.000356462512274069,-1
4,1.5670432320691e+18,21,20717776.2789452,29,-17292881.3868036,10294156.5636367,4285778.48598923,1,0.000356462512274069,0.7400816784
4,1.5670432320691e+18,27,23260372.8993482,20,-15044656.3219038,-7131460.19934353,23267270.8373775,1,0.000356462512274069,1.4535678096
4,1.5670432320691e+18,107,37420143.2908863,36,4089485.6032582,32233566.0168277,103254.902028932,4,0.000356462512274069,0.925449772009
4,1.5670432320691e+18,108,36493881.7841487,28,-15019020.5501203,29829494.7748897,685040.235851051,4,0.000356462512274069,0.7322053761
4,1.5670432320691e+18,112,36980837.6012628,28,-14831252.3071674,13112252.1092948,34067775.0315069,4,0.000356462512274069,0.713916844096
4,1.5670432320691e+18,132,21887458.5881866,44,-12388507.2700668,9668210.5505618,17548436.5851183,4,0.000356462512274069,0.637675714116
4,1.5670432320691e+18,133,25386246.0183313,27,-16130992.3813223,-10278189.9440577,24444109.0025076,4,0.000356462512274069,1.9098134416
4,1.5670432320691e+18,135,22778045.1543379,35,-873550.319196365,18238920.8554836,1786214.1819513,4,0.000356462512274069,0.851362372249
5,1.56704323307112e+18,1,21846423.1062339,29,-13363394.4792469,12313005.0936107,-5294583.45727886,1,0.000357009399162518,1.050625
5,1.56704323307112e+18,7,21212260.2830247,13,-1113250.12827985,10390880.2971201,18995510.9012728,1,0.000357009399162518,-1
5,1.56704323307112e+18,8,21150890.599643,19,-9481775.49879645,5066348.51103573,21492590.9426941,1,0.000357009399162518,0.724127815849
5,1.56704323307112e+18,9,22987318.5164063,30,5843002.53568577,15793007.0594836,-3063038.89015708,1,0.000357009399162518,1.4698652644
5,1.56704323307112e+18,16,24279392.3223214,13,-25071068.5543685,-9529504.9994715,11389425.4232882,1,0.000357009399162518,-1
5,1.56704323307112e+18,21,20717781.531605,29,-17292982.0221318,10293739.2115042,4288952.41623978,1,0.000357009399162518,0.7398064144
5,1.56704323307112e+18,27,23261122.05152,21,-15045590.2198399,-7134101.58755663,23266979.9812318,1,0.000357009399162518,1.4536401489
5,1.56704323307112e+18,107,37420303.6836804,36,4089481.12671203,32233565.141928,103260.306770996,4,0.000357009399162518,0.925228524544
5,1.56704323307112e+18,108,36494037.7184849,28,-15019020.766162,29829491.578386,685105.42558136,4,0.000357009399162518,0.731988046969
5,1.56704323307112e+18,112,36980962.7427892,29,-14832329.2204723,13111977.7236997,34067454.8327595,4,0.000357009399162518,0.713709004969
5,1.56704323307112e+18,132,21887830.9339468,44,-12388492.2952996,9666368.05958873,17550658.7278932,4,0.000357009399162518,0.637493658624
