llh1,llh2,llh3,llh4
1621218775,22.3011999192932,114.179057151579,3.472
1621218776,22.3011999192932,114.179057151579,3.471
1621218777,22.3011999276266,114.179057143246,3.486
1621218778,22.3011999526266,114.179057132135,3.481
1621218779,22.3011999804044,114.179057109912,3.469
1621218780,22.3012000137377,114.179057082135,3.458
1621218781,22.3012000581822,114.179057029357,3.441
1621218782,22.3012000887378,114.179056918245,3.418
1621218783,22.3011986887367,114.179055040466,3.394
1621218784,22.3011931887323,114.179048018238,3.374
1621218785,22.3011808637224,114.179032737671,3.357
1621218786,22.3011618637072,114.179008748763,3.358
1621218787,22.301138785911,114.178978807072,3.358
1621218788,22.3011165553376,114.178949301493,3.359
1621218789,22.3010915830954,114.178921348693,3.371
1621218790,22.3010587719581,114.178903698678,3.351
1621218791,22.3010220358176,114.178907998682,3.31
1621218792,22.3009903413478,114.178933815369,3.279
1621218793,22.3009601607681,114.178968357064,3.24
1621218794,22.3009244607395,114.179005634871,3.212
1621218795,22.3008807745935,114.179045084903,3.199
1621218796,22.3008296356637,114.179085279379,3.17
1621218797,22.3007742939527,114.17912915997,3.154
1621218798,22.3007169744624,114.179179407232,3.143
1621218799,22.3006576549705,114.179235618388,3.135
1621218800,22.3005951799205,114.179295051769,3.119
1621218801,22.3005302632019,114.179357254597,3.102
1621218802,22.3004634770374,114.179420637981,3.109
1621218803,22.3003966853173,114.179484118587,3.079
1621218804,22.3003304491532,114.17954585197,3.077
1621218805,22.300265943546,114.179606618685,3.081
1621218806,22.3002035990517,114.179666302066,3.086
1621218807,22.3001474267846,114.179719335442,3.108
1621218808,22.3001049267506,114.17975979103,3.107
1621218809,22.3000791545077,114.179783921605,3.124
1621218810,22.3000704683897,114.179792099389,3.139
1621218811,22.3000703517229,114.179792302167,3.158
1621218812,22.300070426723,114.179792302167,3.179
1621218813,22.3000704795008,114.179792302167,3.199
1621218814,22.3000705128341,114.179792304945,3.22
1621218815,22.3000704822786,114.179792313278,3.224
1621218816,22.300070476723,114.179792313278,3.225
1621218817,22.300070476723,114.179792313278,3.224
1621218818,22.300070476723,114.179792313278,3.223
1621218819,22.300070476723,114.179792313278,3.222
1621218820,22.300070476723,114.179792313278,3.22
